gene
ENSG00000170935
ENSG00000287914
ENSG00000225362
ENSG00000254290
ENSG00000232400
ENSG00000183888
ENSG00000233823
ENSG00000160182
ENSG00000230393
ENSG00000200385
ENSG00000082175
ENSG00000251169
ENSG00000224853
ENSG00000171428
ENSG00000154198
ENSG00000257271
ENSG00000172425
ENSG00000256612
ENSG00000115255
ENSG00000253125
ENSG00000204019
ENSG00000253768
ENSG00000259793
ENSG00000260009
ENSG00000130045
ENSG00000286208
ENSG00000280916
ENSG00000283526
ENSG00000116176
ENSG00000225208
ENSG00000249346
ENSG00000223808
ENSG00000243478
ENSG00000215369
ENSG00000260710
ENSG00000164438
ENSG00000186910
ENSG00000173335
ENSG00000285587
ENSG00000105173
ENSG00000197308
ENSG00000279685
ENSG00000207422
ENSG00000203760
ENSG00000234918
ENSG00000286995
ENSG00000112238
ENSG00000203985
ENSG00000225449
ENSG00000271850
ENSG00000252621
ENSG00000254416
ENSG00000154548
ENSG00000103355
ENSG00000228613
ENSG00000254042
ENSG00000249203
ENSG00000253959
ENSG00000166535
ENSG00000187772
ENSG00000148513
ENSG00000105695
ENSG00000254607
ENSG00000205325
ENSG00000230090
ENSG00000258314
ENSG00000152192
ENSG00000282728
ENSG00000286379
ENSG00000229544
ENSG00000196090
ENSG00000251141
ENSG00000287313
